"","x"
"1232","brown"
"1233","turquoise"
"1234","lightcyan"
"1235","red"
"1236","red"
"1237","magenta"
"1238","blue"
"1239","blue"
"1240","turquoise"
"1241","turquoise"
"1242","blue"
"1243","blue"
"1244","blue"
"1245","blue"
"1246","black"
"1247","red"
"1248","turquoise"
"1249","turquoise"
"1250","grey60"
"1251","darkturquoise"
"1252","red"
"1253","black"
"1254","brown"
"1255","black"
"1256","turquoise"
"1257","turquoise"
"1258","cyan"
"1259","turquoise"
"1260","turquoise"
"1261","brown"
"1262","black"
"1263","darkgreen"
"1264","purple"
"1265","red"
"1266","black"
"1267","green"
"1268","grey60"
"1269","brown"
"1270","grey60"
"1271","pink"
"1272","brown"
"1273","brown"
"1274","green"
"1275","turquoise"
"1276","turquoise"
"1277","black"
"1278","red"
"1279","turquoise"
"1280","salmon"
"1281","black"
"1282","yellow"
"1283","blue"
"1284","yellow"
"1285","brown"
"1286","blue"
"1287","cyan"
"1288","turquoise"
"1289","yellow"
"1290","turquoise"
"1291","brown"
"1292","yellow"
"1293","lightyellow"
"1294","pink"
"1295","yellow"
"1296","brown"
"1297","brown"
"1298","yellow"
"1299","green"
"1300","green"
"1301","brown"
"1302","cyan"
"1303","white"
"1304","green"
"1305","purple"
"1306","magenta"
"1307","turquoise"
"1308","purple"
"1309","yellow"
"1310","blue"
"1311","magenta"
"1312","cyan"
"1313","turquoise"
"1314","blue"
"1315","red"
"1316","tan"
"1317","midnightblue"
"1318","yellow"
"1319","tan"
"1320","tan"
"1321","blue"
"1322","magenta"
"1323","grey60"
"1324","brown"
"1325","red"
"1326","blue"
"1327","red"
"1328","brown"
"1329","blue"
"1330","blue"
"1331","pink"
"1332","black"
"1333","pink"
"1334","turquoise"
"1335","black"
"1336","brown"
"1337","pink"
"1338","pink"
"1339","blue"
"1340","brown"
"1341","red"
"1342","turquoise"
"1343","yellow"
"1344","red"
"1345","pink"
"1346","turquoise"
"1347","red"
"1348","green"
"1349","turquoise"
"1350","blue"
"1351","brown"
"1352","brown"
"1353","blue"
"1354","blue"
